athlete_full_name,games_participations,first_game,athlete_year_birth,athlete_medals,athletes_age
Matt GRAHAM,3,Sochi 2014,1994.0,"


1

S

",29
Ikuma HORISHIMA,2,PyeongChang 2018,1997.0,"


1

B

",26
Daichi HARA,2,PyeongChang 2018,1997.0,"


1

B

",26
Mikael KINGSBURY,3,Sochi 2014,1992.0,"


1

G



2

S

",31
Walter WALLBERG,2,PyeongChang 2018,2000.0,"


1

G

",23
Kevin ROLLAND,3,Sochi 2014,1989.0,"


1

B

",34
Nico PORTEOUS,2,PyeongChang 2018,2001.0,"


1

G



1

B

",22
David WISE,3,Sochi 2014,1990.0,"


2

G



1

S

",33
Alex FERREIRA,2,PyeongChang 2018,1994.0,"


1

S



1

B

",29
Gus KENWORTHY,3,Sochi 2014,1991.0,"


1

S

",32
Birk RUUD,1,Beijing 2022,2000.0,"


1

G

",23
Henrik HARLAUT,3,Sochi 2014,1991.0,"


1

B

",32
Jesper TJADER,3,Sochi 2014,1994.0,"


1

B

",29
Nicholas GOEPPER,3,Sochi 2014,1994.0,"


2

S



1

B

",29
Colby STEVENSON,1,Beijing 2022,1997.0,"


1

S

",26
Alexander HALL,2,PyeongChang 2018,1998.0,"


1

G

",25
Sergey RIDZIK,2,PyeongChang 2018,1992.0,"


2

B

",31
Alex FIVA,3,Sochi 2014,1986.0,"


1

S

",37
Jean Frederic CHAPUIS,3,Sochi 2014,1989.0,"


1

G

",34
Ryan REGEZ,1,Beijing 2022,1993.0,"


1

G

",30
Brady LEMAN,3,Sochi 2014,1986.0,"


1

G

",37
Ailing Eileen GU,1,Beijing 2022,2003.0,"


2

G



1

S

",20
Kelly SILDARU,1,Beijing 2022,2002.0,"


1

B

",21
Tess LEDEUX,2,PyeongChang 2018,2001.0,"


1

S

",22
Mathilde GREMAUD,2,PyeongChang 2018,2000.0,"


1

G



1

S



1

B

",23
Sarah HOEFFLIN,2,PyeongChang 2018,1991.0,"


1

G

",32
Jakara ANTHONY,2,PyeongChang 2018,1998.0,"


1

G

",25
Chloe DUFOUR-LAPOINTE,4,Vancouver 2010,1991.0,"


1

S

",32
Perrine LAFFONT,3,Sochi 2014,1998.0,"


1

G

",25
Justine DUFOUR-LAPOINTE,3,Sochi 2014,1994.0,"


1

G



1

S

",29
Anastasiia SMIRNOVA,1,Beijing 2022,2002.0,"


1

B

",21
Jaelin KAUF,2,PyeongChang 2018,1996.0,"


1

S

",27
Yulia GALYSHEVA,4,Vancouver 2010,1992.0,"


1

B

",31
Sandra NAESLUND,3,Sochi 2014,1996.0,"


1

G

",27
Daniela MAIER,1,Beijing 2022,1996.0,"


1

B

",27
Fanny SMITH,4,Vancouver 2010,1992.0,"


1

B

",31
Brittany PHELAN,3,Sochi 2014,1991.0,"


1

S

",32
Marielle THOMPSON,3,Sochi 2014,1992.0,"


1

G



1

S

",31
Ilia BUROV,3,Sochi 2014,1991.0,"


2

B

",32
Lewis IRVING,2,PyeongChang 2018,1995.0,"


1

B

",28
Oleksandr ABRAMENKO,5,Turin 2006,1988.0,"


1

G



1

S

",35
Justin SCHOENEFELD,1,Beijing 2022,1998.0,"


1

G

",25
Guangpu QI,4,Vancouver 2010,1990.0,"


1

G



1

S

",33
Zongyang JIA,4,Vancouver 2010,1991.0,"


2

S



1

B

",32
Miha FONTAINE,1,Beijing 2022,2004.0,"


1

B

",19
Christopher LILLIS,1,Beijing 2022,1998.0,"


1

G

",25
Hanna HUSKOVA,1,Beijing 2022,1992.0,"


1

S

",31
Marion THENAULT,1,Beijing 2022,2000.0,"


1

B

",23
Mengtao XU,4,Vancouver 2010,1990.0,"


1

G



2

S

",33
Megan NICK,1,Beijing 2022,1996.0,"


1

B

",27
Ashley CALDWELL,4,Vancouver 2010,1993.0,"


1

G

",30
Fanyu KONG,2,PyeongChang 2018,1993.0,"


1

B

",30
Rachel KARKER,1,Beijing 2022,1997.0,"


1

B

",26
Devin LOGAN,3,Sochi 2014,1993.0,"


1

S

",30
Cassie SHARPE,2,PyeongChang 2018,1992.0,"


1

G



1

S

",31
Brita SIGOURNEY,3,Sochi 2014,1990.0,"


1

B

",33
Kim BOUTIN,2,PyeongChang 2018,1994.0,"


1

S



3

B

",29
Martina VALCEPINA,4,Vancouver 2010,1992.0,"


2

S



1

B

",31
Chunyu QU,2,PyeongChang 2018,1996.0,"


1

G



1

B

",27
Xandra VELZEBOER,1,Beijing 2022,2001.0,"


1

G

",22
